"Agents involved in the sale of food, beverages and tobacco ",4617,405.2,441.6
Agents specialised in the sale of other particular products ,4618,,767.5
Agents involved in the sale of a variety of goods ,4619,,
Wholesale of agricultural raw materials and live animals ,462,451,565.1
"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",4621,506,649
Wholesale of flowers and plants  ,4622,,513.4
Wholesale of live animals ,4623,,
"Wholesale of hides, skins and leather ",4624,,
"Wholesale of food, beverages and tobacco ",463,431.5,524.3
Wholesale of fruit and vegetables ,4631,419.5,544.6
Wholesale of meat and meat products ,4632,344.6,359.7
"Wholesale of dairy products, eggs and edible oils and fats  ",4633,369.4,487.8
Wholesale of beverages,4634,521.1,723.9
Wholesale of tobacco products ,4635,,
Wholesale of sugar and chocolate and sugar confectionery ,4636,457,495
"Wholesale of coffee, tea, cocoa and spices",4637,485.4,544.7
"Wholesale of other food, including fish, crustaceans and molluscs",4638,481.1,539.1
"Non-specialised wholesale of food, beverages and tobacco ",4639,425,475.3
Wholesale of household goods ,464,523.8,703.8
Wholesale of textiles  ,4641,439.9,526
Wholesale of clothing and footwear,4642,511.1,600.2
Wholesale of electrical household appliances ,4643,616.6,698.7
Wholesale of china and glassware and cleaning materials ,4644,476.5,546.9
Wholesale of perfume and cosmetics ,4645,744.6,868.5
Wholesale of pharmaceutical goods ,4646,696.2,866.7
"Wholesale of furniture, carpets and lighting equipment ",4647,586,691.4
Wholesale of watches and jewellery ,4648,,563
Wholesale of other household goods ,4649,396.5,587.4
Wholesale of information and communication equipment ,465,574.9,752.6
