EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPayPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleMedianBonusPayPercent,FemaleMedianBonusPayPercent,MaleLowerPayBand,FemaleLowerPayBand,MaleMiddlePayBand,FemaleMiddlePayBand,MaleUpperPayBand,FemaleUpperPayBand,MaleUpperQuartilePayBand,FemaleUpperQuartilePayBand,CompanyLinkToGPGInfo,ResponsiblePerson
PROJECT MANAGEMENT (STAFFORDSHIRE) LIMITED,"Kingsley, The Brampton,
Newcastle Under Lyme,
ST5 0QW",01620399,85590,-15.90,-19.10,0.00,0.00,0.00,0.00,75.00,25.00,86.00,14.00,46.00,54.00,54.00,46.00,https://business.pmtraining.org.uk/about-us/gender-pay-gap-report/,Sinéad Butters (Group Chief Executive)
Q V FOODS LIMITED,"Fleet Estate Office, Manor Farm, Holbeach Hurn, Holbeach,
Spalding,
PE12 8LR",02267537,10390,17.90,13.50,97.70,97.00,14.00,2.60,59.60,40.40,59.90,40.10,69.10,30.90,82.40,17.60,http://docs.wixstatic.com/ugd/cad8c2_41aaa57eeb6246e2b292ab69704c1a2c.docx?dn=Gender%20Pay%20Gap%20Report.docx,Gill Bartlett (HR Manager)
Quadrant Catering Ltd.,"Parklands Court 24 Parklands,
Birmingham Great Park,
Rubery Birmingham,
West Midlands,
United Kingdom,
B45 9PZ",03511995,56210,5.20,3.00,-80.30,12.70,2.40,1.30,14.80,85.20,20.30,79.70,28.00,72.00,23.80,76.20,https://www.compass-group.co.uk/media/3405/gender-pay-gap-2017.pdf,Donna Catley (HR Director)
Quartzelec Ltd,"Quartzelec Ltd Castle Mound Way,
Central Park,
Rugby,
Warwickshire,
United Kingdom,
CV23 0WB",02364716,"25990,
27110,
33140,
43210",27.00,25.00,64.00,29.00,40.00,32.00,68.80,31.20,95.00,5.00,96.10,3.90,94.90,5.10,,Lindsey Moffitt (HR Director)
R & R.C.BOND (WHOLESALE) LIMITED,"One General Street, Pocklington Industrial Estate,
Pocklington,
YO42 2NR",01024495,45310,-6.10,-10.90,-119.20,0.00,91.50,92.80,91.10,8.90,93.60,6.40,75.60,24.40,86.00,14.00,,Lindsay Lanham-Bond (HR Director)
R E PEOPLE LIMITED,"Cps House, 7-9 Ambrose Street,
Cheltenham,
Gloucestershire",05506226,78109,3.00,0.00,-10.00,-71.00,1.00,1.00,64.00,36.00,78.00,22.00,37.00,63.00,65.00,35.00,http://www.reresourcegroup.co.uk/,Rina Gendvilaite (Payroll Manager)
R E Personnel Ltd.,"Cps House,
7-9 Ambrose Street,
Cheltenham,
Glos,
United Kingdom,
GL50 3QR",04301078,78109,2.00,0.00,0.00,0.00,0.00,0.00,56.00,44.00,52.00,48.00,49.00,51.00,52.00,48.00,http://www.reresourcegroup.co.uk/,Rina Gendvilaite (Payroll Manager)
RABOBANK LONDON,"Thames Court,
One Queenhithe,
London,
EC4V 3RL",BR002630,,20.20,22.20,48.10,28.00,88.00,93.00,68.00,32.00,69.00,31.00,78.00,22.00,89.00,11.00,https://www.rabobank.com/nl/about-rabobank/in-society/diversity/gender-diversity-targets/index.html,Tamira Treffers-Herrera (Regional Head Europe & General Manager London)
RADIAN CAPITAL PLC,"Collins House, Bishopstoke Road,
Eastleigh,
SO50 6AD",07890812,64999,12.80,15.70,77.80,0.00,82.70,80.10,39.00,61.00,36.00,64.00,51.00,49.00,64.00,36.00,https://www.radian.co.uk/,Anne Costain (Director)
Reach Contact Ltd.,"Ground Floor, Block A Dukes Court,
Duke Street,
Woking,
Surrey,
England,
GU21 5BH",01226337,82990,12.30,3.20,32.70,14.50,76.30,70.00,36.40,63.60,61.00,39.00,50.00,50.00,56.80,43.20,http://www.reach-contact.com/wp-content/uploads/2018/01/Gender-Pay-Gap-Final-.pdf,Karly Francis (Head of Talent)
Rectella Ltd.,"6th Floor Cardinal House,
20 St Mary's Parsonage,
Manchester,
United Kingdom,
M3 2LG",00430344,"46410,
47510,
70100",54.20,88.00,467.00,88.00,40.60,20.70,6.00,94.00,3.00,97.00,7.00,93.00,30.00,70.00,,Laura Walker (Payroll Co-ordinator)
REFLEX LABELS LIMITED,"Vision House, Hamilton Way, Oakham Business Park,
Mansfield,
NG18 5BU",03708517,18121,12.70,18.10,0.00,0.00,0.00,0.00,72.70,27.30,75.80,24.20,82.70,17.30,87.20,12.80,http://reflexlabels.co.uk/wp-content/uploads/2018/01/Gender%20Pay%20Reporting.pdf,Paul Pollard (HR and Compliance Director)
Regis UK Ltd.,"First Floor Lynchgate House,
Cannon Park Shopping Centre,
Canley,
Coventry,
United Kingdom,
CV4 7EH",02603786,96020,40.90,24.50,48.50,34.70,16.00,10.00,25.30,74.70,11.20,88.80,6.70,93.30,2.50,97.50,,Caroline Collins (HR Manager)
Registers of Scotland,"Meadowbank House,
153 London Road,
Edinburgh,
EH8 7AU",,1,4.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,49.50,50.50,50.90,49.10,56.20,43.80,https://www.ros.gov.uk/__data/assets/pdf_file/0015/3525/Equality-Mainstreaming-Report-2017-Equal-Pay-Stats.pdf,
Regular Cleaning Services Ltd.,"Aldworth House,
1 Aldworth Grove,
London,
United Kingdom,
SE13 6HJ",02708722,81210,0.40,4.90,0.00,0.00,0.00,0.00,41.00,59.00,52.00,48.00,51.00,49.00,51.00,49.00,,Gemma Bowers (HR/L&D Director)
Reigate Sixth Form College,"Castlefield Road,
Reigate,
Surrey,
United Kingdom,
RH2 0SD",,"1,
85310",11.00,8.30,0.00,0.00,0.00,0.00,21.80,78.20,36.40,63.60,29.10,70.90,41.10,58.90,http://www.reigatelearningalliance.org/documents/Reigate_Learning_Alliance-Gender_Pay_Gap_Report_2017.pdf,
RENAISSANCE CARE (NO1) LIMITED,"Suite 2, Ground Floor, Stuart House Eskmills Park,
Station Road,
Musselburgh,
Midlothian,
EH21 7PB",SC402097,87100,-3.80,0.00,0.00,0.00,1.00,13.00,26.40,73.60,30.00,70.00,13.20,86.80,50.00,50.00,http://www.renaissance-care.co.uk/,William McLeish (Finance Director)
Restaurant Group (The) PLC,"1, George Square,
Glasgow,
G2 1AL",SC030343,64209,10.70,6.30,31.70,0.00,5.10,3.50,37.00,63.00,42.60,57.40,54.50,45.50,66.20,33.80,https://www.trgplc.com/sites/default/files/pdfs/trg-gender-pay-gap-report.pdf,Debbie Moore (HR Director)
RETHINK MENTAL ILLNESS LTD,"89, Albert Embankment,
London,
SE1 7TP",04570581,86900,9.60,0.00,0.00,0.00,0.00,0.00,29.00,71.00,18.50,81.50,32.00,68.00,32.50,67.50,https://www.rethink.org,Andrew Hodges (Chief Operating Officer)
REVENUE & CUSTOMS DIGITAL TECHNOLOGY SERVICES LIMITED,"Fao General Counsel And Solicitor Of Hmrc Solicitors Office, Room 2/40, 100 Parliament Street,
London,
United Kingdom,
SW1A 2BQ",09679225,62090,4.60,9.30,2.20,0.00,42.70,53.90,83.90,16.10,77.10,22.90,83.10,16.90,84.90,15.10,https://www.gov.uk/government/publications/rcdts-gender-pay-gap-report-and-data-2017,"Ulele Andrews (RCDTS HR policy and reward, Chief Digital & Information Officer)"
Rft Repairs Ltd.,"31 King Street,
Norwich,
Norfolk,
United Kingdom,
NR1 1PD",08341166,"41202,
43290",10.40,12.90,0.00,0.00,0.00,0.00,75.50,24.50,89.60,10.40,96.00,4.00,88.50,11.50,,Lisa Collen (Director of People)
Rhubarb Food Design Ltd.,"5-25 Burr Road,
London,
United Kingdom,
SW18 4SQ",03632492,56290,7.00,1.00,4.00,-18.00,9.00,10.00,59.00,41.00,63.00,37.00,58.00,42.00,64.00,36.00,,Duncan Swanson (Director of Human Resources)
RIBBON ACQUISITION LIMITED,"26, Red Lion Square,
London,
United Kingdom,
WC1R 4AG",05385882,68100,11.00,0.00,74.00,76.00,4.00,3.00,45.00,55.00,41.00,59.00,45.00,55.00,57.00,43.00,,Jo Monk (HR Director)
Richard Wellock & Sons Ltd.,"Unit 4 Pendleside,
Lomeshaye,
Nelson,
Lancashire,
United Kingdom,
BB9 6SH",04296795,46310,11.60,2.80,34.80,44.20,97.60,92.50,57.10,42.90,77.90,22.10,73.50,26.50,87.60,12.40,,Michael Beech (Finance Director)
Rider Levett Bucknall UK Ltd.,"15 Colmore Row,
Birmingham,
West Midlands,
England,
B3 2BH",04653580,71129,28.10,32.70,45.80,-58.30,3.50,4.90,54.50,45.50,65.50,34.50,80.90,19.10,88.20,11.80,http://assets.rlb.com/production/2018/01/03225350/RLB-Gender-Pay-Gap-Report.pdf,Stuart Stables (Finance Director)
Ridge And Partners LLP,"The Cowyards Blenheim Park,
Oxford Road,
Woodstock,
Oxfordshire,
United Kingdom,
OX20 1QR",OC309402,,29.00,34.00,46.00,44.00,70.00,100.00,53.00,47.00,77.00,23.00,83.00,17.00,95.00,5.00,http://www.ridge.co.uk/wp-content/uploads/2017/10/Ridge-Gender-Pay-Gap-Report.pdf,Adrian O'Hickey (Senior Partner)
Rightmove Group Ltd.,"Turnberry House 30 Caldecotte Lake Drive,
Caldecotte,
Milton Keynes,
Buckinghamshire,
United Kingdom,
MK7 8LE",03997679,"62090,
63120",30.60,37.00,70.40,36.50,47.90,45.80,26.70,73.30,47.40,52.60,64.30,35.70,69.80,30.20,http://plc.rightmove.co.uk/~/media/Files/R/Rightmove/2018/Gender%20Pay%20Report%202018.pdf,Peter Brooks-Johnson (Chief Executive Officer)
Risedale Estates Ltd.,"Risedale At Abbey Meadow,
Duchy Court,
Barrow-In-Furness,
Cumbria,
United Kingdom,
LA13 0BF",01974198,"87100,
87200,
87300",10.00,8.50,56.90,48.90,21.30,19.90,13.60,86.40,6.30,93.70,17.30,82.70,24.30,75.70,http://www.risedale-carehomes.co.uk/,Tracy Brackwell (Director of Administration)
RITZ HOTEL (LONDON) LIMITED(THE),"150, Piccadilly,
London,
W1V 9DG",00064203,55100,5.90,6.00,5.30,0.00,37.10,37.60,67.70,32.30,61.00,39.00,65.60,34.40,79.00,21.00,https://www.theritzlondon.com/gender-pay-gap-report/,Ciarán Fahy (CEO)
RIver Learning Trust,"Cherwell School,
Marston Ferry Road,
Oxford,
OX2 7EE",,1,22.90,39.00,0.00,0.00,0.00,0.00,14.40,85.60,21.00,79.00,37.00,63.00,36.50,63.50,http://riverlearningtrust.org/policies/,
Rnib Charity,"C/O Rnib,
105 Judd Street,
London,
United Kingdom,
WC1H 9NE",08971500,"63990,
85590,
87900,
94990",10.30,0.00,4.80,18.90,2.70,1.60,20.00,80.00,31.00,69.00,24.50,75.50,25.20,74.80,http://www.rnib.org.uk/about-rnib-what-we-do/annual-review-and-annual-reports,Corinne Mills (Corporate Services Director)
Robert Gordon's College,"Schoolhill,
Aberdeen,
AB10 1FE",SC000123,,5.20,-7.90,0.00,0.00,0.00,0.00,47.10,52.90,47.10,52.90,48.10,51.90,53.40,46.60,http://www.rgc.aberdeen.sch.uk/genderpaygapreport,Sam Walker (Finance Manager)
Rolls-Royce Marine Power Operations Ltd.,"MOOR LANE,
Derby,
Derbyshire,
United Kingdom,
DE24 8BJ",00620485,"25300,
72190",8.00,8.20,19.70,13.60,97.70,100.00,84.00,16.00,89.00,11.00,94.00,6.00,93.00,7.00,http://www.rolls-royce.com/sustainability/our-people.aspx#uk-gender-pay-report,"Steven Dearden (President, Submarine-Nuclear)"
Rolls-Royce PLC,"62 Buckingham Gate,
London,
United Kingdom,
SW1E 6AT",01003142,"25300,
25620,
28110",6.30,6.30,5.50,7.40,98.70,97.70,76.00,24.00,90.00,10.00,89.00,11.00,86.00,14.00,http://www.rolls-royce.com/sustainability/our-people.aspx#uk-gender-pay-report,Warren East (CEO)
Rolls-Royce Power Engineering PLC,"Moor Lane,
Derby,
Derbyshire,
United Kingdom,
DE24 8BJ",01305027,"25620,
28110,
28220,
33140",11.10,12.30,20.60,14.70,98.40,98.60,66.00,34.00,85.00,15.00,86.00,14.00,89.00,11.00,http://www.rolls-royce.com/sustainability/our-people.aspx#uk-gender-pay-report,Rick Curtis (CFO - Nuclear)
Rossall School,"Broadway,
Fleetwood,
FY7 8JW",RC000435,,2.20,-1.70,0.00,0.00,0.00,0.00,23.80,76.20,46.80,53.20,28.10,71.90,41.30,58.70,http://www.rossallschool.org.uk,Emma Sanderson (Bursar)
ROWE FARMING LIMITED,"Greenvale Ap Limited Floods Ferry Road, Doddington,
March,
PE15 0UW",05291852,1130,22.10,18.90,27.20,0.00,73.30,91.70,48.70,51.30,48.70,51.30,57.50,42.50,94.90,5.10,https://www.rowefarming.co.uk/media/2015/rowe-farming-gpg.pdf,Andy Ferguson (HR Director)
Royal Berkshire Fire & Rescue Service,"Newsham Court,
Calcot,
Reading,
Berkshire,
United Kingdom,
RG31 7SD",,"1,
64204",7.60,3.70,0.00,0.00,0.00,0.00,71.00,29.00,93.00,7.00,83.00,17.00,82.00,18.00,https://www.rbfrs.co.uk/your-service/transparency-and-governance/staffing-transparency/,
ROYAL BRITISH LEGION INDUSTRIES LTD.,"Hall Road, Aylesford, Nr Maidstone,
Kent,
ME20 7NL",00158479,"16290,
32990,
84110,
87300",7.30,-23.00,-159.00,-237.50,46.30,13.00,43.00,57.00,51.00,49.00,44.00,56.00,37.00,63.00,https://www.rbli.co.uk/,Steve Sherry (Chief Executive)
Royal Garden Hotel Ltd.,"The Royal Garden Hotel,
2-24 Kensington High Street,
London,
United Kingdom,
W8 4PT",03045114,55100,16.00,16.00,0.00,0.00,0.00,0.00,49.00,51.00,50.00,50.00,53.00,47.00,70.00,30.00,,Stella Amor (Human Resources Director)
Royal National Institute Of Blind People,"105 Judd Street,
London,
London,
United Kingdom,
WC1H 9NE",RC000500,,11.80,11.50,0.00,0.00,0.00,0.00,35.30,64.70,32.20,67.80,33.90,66.10,34.00,66.00,http://www.rnib.org.uk/about-rnib-what-we-do/annual-review-and-annual-reports,Corinne Mills (Corporate Services Director)
Royal Orthopaedic Hospital,"Bristol Road South,
Northfield,
Birmingham,
West Midlands,
United Kingdom,
B31 2AP",RC000510,,34.80,25.90,49.50,38.90,5.80,0.20,31.00,69.00,18.20,81.80,18.90,81.10,52.40,47.60,,"Darren Tidmarsh (Associate Director of HR, Workforce and OD)"
Rrg Group Ltd.,"173 Cross Lane,
Salford,
Lancashire,
United Kingdom,
M5 4AP",01053351,45111,50.20,35.10,84.40,55.00,85.10,51.10,58.30,41.70,64.30,35.70,79.40,20.60,84.90,15.10,,Arran Bangham (Managing Director)
RSM UK Tax and Accounting Limited,"6th Floor 25 Farringdon Street,
London,
United Kingdom,
EC4A 4AB",06677561,82990,16.20,16.70,27.70,0.00,74.30,77.00,30.80,69.20,46.00,54.00,49.90,50.10,63.50,36.50,,Penrose Foss (General Counsel)
Rwe Generation UK PLC,"Windmill Hill Business Park, Whitehill Way,
Swindon,
SN5 6PB",03892782,35110,11.00,8.40,25.80,24.20,64.40,70.40,76.00,24.00,93.00,7.00,86.00,14.00,90.00,10.00,https://www.rwe.com/web/cms/en/1763000/rwe-generation-se/csr/employees/,Steve Glover (Director)
RWE SUPPLY & TRADING GMBH,"Windmill Hill Business Park,,
Swindon,
SN5 6PB",BR007373,,40.70,35.40,68.30,53.30,87.90,84.40,38.10,61.90,66.30,33.70,80.00,20.00,82.90,17.10,http://www.rwe.com/web/cms/mediablob/en/3843066/data/158406/1/rwe-supply-trading/UK-Gender-Pay-Report-2017.pdf,Ulrike Pugh (Head of HR)
Rygor Holdings Ltd.,"The Broadway,
West Wilts Trading Estate,
Westbury,
Wiltshire,
United Kingdom,
BA13 4JX",06506121,82110,21.90,26.60,-19.00,-37.00,38.00,39.00,63.80,36.20,72.30,27.70,91.80,8.20,91.80,8.20,http://www.rygor.co.uk/about-us/,Graham Drake (Director)
S & B Commercials PLC,"S & B Commercials Plc Travellers Lane,
Welham Green,
Hatfield,
Hertfordshire,
United Kingdom,
AL9 7HN",01635078,"45111,
45190,
45200,
45320",10.50,6.40,68.30,0.00,57.80,70.40,90.60,9.40,68.70,31.30,87.50,12.50,87.50,12.50,,Nicky Simmons (HR Manager)
S.G. Petch Ltd.,"Mcmullen Road,
Darlington,
County Durham,
United Kingdom,
DL1 1XZ",02479069,"45111,
45112,
45200,
45320",21.00,21.90,47.60,21.30,85.70,61.80,56.70,43.30,57.30,42.70,79.70,20.30,85.30,14.70,,Jill Petch (Payroll Administrator)
SACO THE SERVICED APARTMENT COMPANY LIMITED,"6th, Floor Embassy House Queens Avenue,
Clifton,
Bristol,
BS8 1SB",07638220,55100,33.80,18.70,27.50,37.50,35.40,36.60,11.30,88.70,22.20,77.80,42.90,57.10,44.40,55.60,http://www.sacoapartments.com/legal/,Stephen Hanton (CEO)
SADLER'S WELLS TRUST LIMITED,"Sadler's Wells, Rosebery Avenue,
London,
EC1R 4TN",01488786,90010,1.60,0.00,85.70,50.00,2.60,1.50,24.40,75.60,39.50,60.50,49.40,50.60,61.60,38.40,https://sadlerswells-downloads.s3.amazonaws.com/pages/gender_pay_gap_2017.pdf,Alistair Spalding (Artistic Director and Chief Executive)
Saffron Academy Trust,"Saffron Walden County High School,
Audley End Road,
Saffron Walden,
Essex,
United Kingdom,
CB11 4UH",07618351,"1,
85310",23.10,52.70,100.00,100.00,0.80,0.00,20.50,79.50,13.80,86.20,22.80,77.20,40.20,59.80,,
Sage (UK) Ltd,"North Park,
Newcastle Upon Tyne,
United Kingdom,
NE13 9AA",01045967,"58290,
62020",4.30,0.10,3.10,-16.80,88.20,86.90,65.00,35.00,64.00,36.00,63.00,37.00,66.00,34.00,https://www.sage.com/company/about-sage/diversity-and-inclusion,Tina Clayton (EVP Reward and Recognition)
Sage Group (The) PLC,"North Park,
Newcastle Upon Tyne,
United Kingdom,
NE13 9AA",02231246,70100,27.80,20.50,68.50,49.00,65.20,72.30,25.00,75.00,32.00,68.00,45.00,55.00,54.00,46.00,https://www.sage.com/company/about-sage/diversity-and-inclusion,Tina Clayton (EVP Reward and Recognition)
Saint Elizabeth's School,"Perry Green,
Much Hadham,
Hertfordshire,
United Kingdom,
SG10 6EW",,"1,
85310",-2.70,-2.30,0.00,0.00,0.00,0.00,23.20,76.80,24.40,75.60,23.50,76.50,16.50,83.50,http://www.stelizabeths.org.uk/working-with-us/gender-pay-gap-report/,
Saint John Of God Hospitaller Services,"Saint Bede's House,
Morton Park,
Darlington,
United Kingdom,
DL1 4XZ",05324279,"87100,
87200,
87300,
88100",-1.50,-0.10,0.00,0.00,0.00,0.00,12.20,87.80,20.70,79.30,17.90,82.10,17.90,82.10,,Bridget Dougan (Chief Executive)
SALIX HOMES LIMITED,"2, Diamond House,
Peel Cross Road,
Salford,
M5 4DT",06005412,68201,-0.20,-15.70,0.00,0.00,0.00,0.00,64.90,35.10,79.20,20.80,37.80,62.20,60.50,39.50,,Lee Sugden (Chief Executive)
SARIA LIMITED,"Ings Road, Bentley,
Doncaster,
South Yorkshire,
DN5 9TL",00547564,70100,14.90,15.50,13.10,14.80,8.10,10.10,79.00,21.00,79.00,21.00,95.00,5.00,92.00,8.00,http://www.saria.co.uk/about_us/gender_pay.html,Tina Holmes (Head of Human Resources)
SCOTTISH HYDRO ELECTRIC POWER DISTRIBUTION PLC,"Inveralmond House, 200 Dunkeld Road,
Perth,
PH1 3AQ",SC213460,35130,20.70,20.10,46.80,20.00,19.60,13.30,76.00,24.00,81.90,18.10,89.90,10.10,91.40,8.60,http://sse.com/media/475985/SSE-GPG-2017.pdf,Alistair Phillips-Davies (Chief Executive)
SCOTTISH HYDRO ELECTRIC TRANSMISSION PLC,"Inveralmond House, 200 Dunkeld Road,
Perth,
PH1 3AQ",SC213461,35120,33.40,36.10,48.70,25.50,50.40,35.20,55.80,44.20,81.20,18.80,92.90,7.10,95.60,4.40,http://sse.com/media/475985/SSE-GPG-2017.pdf,Alistair Phillips-Davies (Chief Executive)
SEETEC BUSINESS TECHNOLOGY CENTRE LIMITED,"75/77, Main Road,
Hockley,
Essex,
SS5 4RG",02291188,85320,18.30,10.80,-9.40,36.10,8.90,3.30,25.40,74.60,40.60,59.40,46.10,53.90,53.90,46.10,https://www.seetec.co.uk/insights/gender-pay-gap-report,Alison Bunney (Group Business Development Director & Managing Director SESI)
Sefton New Directions Ltd.,"3RD FLOOR,
The Investment Centre,
375 Stanley Road,
Bootle,
Merseyside,
United Kingdom,
L20 3EF",06052757,88100,-7.70,0.00,0.00,0.00,0.00,0.00,9.00,91.00,17.00,83.00,13.00,87.00,12.00,88.00,,Elaine Davies (Head of HR)
SENSE SCOTLAND,"43 , Middlesex Street,
Glasgow,
G41 1EE",SC147570,"87300,
88100,
88910",2.60,0.00,0.00,0.00,0.00,0.00,25.80,74.20,21.70,78.30,28.30,71.70,26.50,73.50,http://www.sensescotland.org.uk/what-we-do/who-we-are/aims-and-values.aspx,Andrew Kerr (Chief Executive)
Serious Fraud Office,"2-4 Cockspur Street,
SW1Y 5BS",,"1,
74909",11.70,13.50,18.80,-12.70,80.00,83.00,44.00,56.00,54.50,45.50,62.00,38.00,64.40,35.60,,
Sesame Services Ltd.,"Pixham End,
Dorking,
Surrey,
United Kingdom,
RH4 1QA",02338540,82990,23.40,33.70,34.50,-3.60,38.00,37.00,35.00,65.00,49.00,51.00,84.00,16.00,62.00,38.00,http://www.sbg.co.uk/SiteCollectionDocuments/SBG-Gender-Pay-Gap.pdf,Lisa Winnard (HR Director)
SEVERN TRENT WATER LIMITED,"Severn Trent Centre, 2 St John's Street,
Coventry,
CV1 2LZ",02366686,36000,2.40,14.60,-49.20,0.00,85.90,80.80,54.70,45.30,70.70,29.30,81.20,18.80,71.70,28.30,https://www.severntrent.com/responsibility/gender-pay-gap/,Olivia Garfield (Chief Executive Officer)
Sheffcare Ltd.,"Springwood House,
192 Penrith Road,
Sheffield,
United Kingdom,
S5 8UG",02538734,87300,0.00,0.00,-275.00,-100.00,8.00,92.00,13.40,86.60,12.20,87.80,18.60,81.40,12.70,87.30,http://www.sheffcare.co.uk/vacancies.html,Merewyn Scafe (Head of HR & Training)
SHELL INTERNATIONAL LIMITED,"Shell Centre, London,
SE1 7NA",03075807,82990,31.50,25.70,39.70,40.50,96.40,97.10,33.30,66.70,47.90,52.10,58.80,41.20,72.00,28.00,http://www.shell.co.uk/genderpay,Sinead Lynch (UK Country Chair)
SHELL INTERNATIONAL PETROLEUM COMPANY LIMITED,"Shell Centre, London,
SE1 7NA",00621148,82990,21.70,16.50,46.00,33.70,98.80,96.70,46.40,53.60,53.30,46.70,71.90,28.10,70.00,30.00,http://www.shell.co.uk/genderpay,Sinead Lynch (UK Country Chair)
SHELL INTERNATIONAL TRADING AND SHIPPING COMPANY LIMITED,"80, Strand,
London,
WC2R 0ZA",00525037,"46711,
50200,
66120",18.00,24.00,62.40,32.30,96.90,98.10,49.50,50.50,71.60,28.40,74.40,25.60,77.30,22.70,http://www.shell.co.uk/genderpay,Sinead Lynch (UK Country Chair)
Shell Research Ltd.,"Shell Centre, London,
SE1 7NA",00539964,82990,32.10,26.50,46.40,48.20,95.30,97.30,54.40,45.60,75.20,24.80,83.20,16.80,89.40,10.60,http://www.shell.co.uk/genderpay,Sinead Lynch (UK Country Chair)
SHELL SHARED SERVICE CENTRE - GLASGOW LIMITED,"Shell Centre, London,
SE1 7NA",03932110,70100,11.30,3.70,18.00,5.80,97.50,99.50,34.60,65.40,29.60,70.40,38.80,61.20,46.20,53.80,http://www.shell.co.uk/genderpay,Sinead Lynch (UK Country Chair)
SHELL U.K. LIMITED,"Shell Centre, London,
SE1 7NA",00140141,6100,19.20,22.70,11.30,12.10,97.80,96.60,61.10,38.90,85.20,14.80,85.90,14.10,88.20,11.80,http://www.shell.co.uk/genderpay,Sinead Lynch (UK Country Chair)
Shell U.K. Oil Products Ltd.,"Shell Centre, London,
SE1 7NA",03625633,46719,13.30,12.20,6.60,12.80,98.10,97.80,48.40,51.60,61.90,38.10,76.20,23.80,71.00,29.00,http://www.shell.co.uk/genderpay,Sinead Lynch (UK Country Chair)
Sherborne Upholstery Ltd.,"Pasture Lane,
Clayton,
Bradford West Yorkshire,
United Kingdom,
BD14 6LT",00520353,31090,23.10,13.10,65.00,13.60,85.20,95.20,76.00,24.00,76.00,24.00,89.00,11.00,92.00,8.00,,Daniel Atkinson (Finance Director)
SHOOSMITHS LLP,"Witan Gate House, 500-600 Witan Gate West,
Milton Keynes,
MK9 1SH",OC374987,,15.40,13.00,18.00,0.00,94.00,92.00,31.00,69.00,19.00,81.00,27.00,73.00,40.00,60.00,http://www.shoosmiths.co.uk/files/Gender_Pay_Gap_Infographic-A4-v2.pdf,Claire Rowe (Chief Executive)
Signature Senior Lifestyle Operations Ltd,"Grosvenor House,
Horseshoe Crescent,
Beaconsfield,
Buckinghamshire,
United Kingdom,
HP9 1LJ",06827497,87300,-0.90,4.40,1.90,41.80,10.30,10.40,13.90,86.10,18.20,81.80,17.80,82.20,21.70,78.30,,Mandy Bennett (HR and OD Director)
Sims Group UK Ltd.,"Sims Group Uk Limited,
Long Marston,
Stratford-Upon-Avon,
Warwickshire,
United Kingdom,
CV37 8AQ",03242331,38320,2.90,0.80,-37.60,57.50,26.50,13.80,82.30,17.70,83.40,16.60,85.10,14.90,80.10,19.90,,Jane Fenwick (HR Director)
SMART Multi Academy Trust,"Wyndham Primary School,
Montagu Avenue,
United Kingdom,
NE3 4SB",10257723,"1,
85200",19.20,36.30,0.00,0.00,0.00,0.00,0.00,100.00,12.60,87.40,19.50,80.50,15.90,84.10,https://smart.eschools.co.uk/web/gender_pay_gap_reporting/324308/,
Smh Fleet Solutions Ltd.,"Church Lane Church Lane,
Norton,
Worcester,
Worcestershire,
England,
WR5 2PR",04526612,77110,7.00,8.00,48.00,55.00,37.20,37.10,66.70,33.30,72.40,27.60,50.70,49.30,67.10,32.90,http://smhfleet.com,Alison Perks (Head of HR)
SMITH & REED RECRUITMENT (SW) LIMITED,"St Denys House, 22 East Hill,
St Austell,
Cornwall,
PL25 4TR",06610875,78109,-4.40,-3.60,-2.10,-86.90,1.50,3.70,25.00,75.00,50.00,50.00,33.00,67.00,25.00,75.00,,ANTHONY GEACH (FINANCIAL CONTROLLER)
Social Care Solutions Ltd.,"56 Southwark Bridge Road,
London,
United Kingdom,
SE1 0AS",06404664,88990,-1.90,2.10,-108.00,-200.00,2.90,5.00,25.00,75.00,18.00,82.00,45.00,55.00,28.00,72.00,http://www.lifeways.co.uk/wp-content/uploads/2018/01/CS-GPR-2017.pdf,Julia Haines-Daniels (Group HR Director)
SOCIAL INTEREST GROUP,"1, Waterloo Gardens,
Milner Square,
London,
N1 1TY",09122052,96090,-3.80,10.10,0.00,0.00,0.00,0.00,38.80,61.20,44.10,55.90,44.10,55.90,27.40,72.60,http://socialinterestgroup.org.uk/wp-content/uploads/2018/01/Gender-Pay-Gap-Report-2017.pdf,Gill Arukpe (Group Chief Executive)
SOCIETY OF LICENSED VICTUALLERS,"Heatherley,
London Road,
Ascot,
SL5 8DR",RC000569,,17.90,18.30,0.00,0.00,0.00,0.00,31.30,68.70,25.00,75.00,22.90,77.10,45.40,54.60,http://governance.licensedtradecharity.org.uk/wp-content/uploads/2017/10/Gender-Pay-Gap-Report-2017.pdf,Helen Watts (Director of Finance)
Sodexo Ltd,"One,
Southampton Row,
London,
United Kingdom,
WC1B 5HA",00842846,70100,13.60,11.20,39.20,43.40,29.00,27.00,32.00,68.00,42.00,58.00,53.00,47.00,60.00,40.00,http://uk.sodexo.com/genderpay2017,Andy Rogers (UK & Ireland Human Resources Director)
